dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,E,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.538240710894264,0.21513993604632015,-0.6548484166463217
RSAR,E,ema,clean,common_1detector_epoch,3,3,42;43;44,52.70611643791199,0.15745292389532412,-0.43386220932006836
RSAR,E,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,51.95051630338033,0.3911711096744742,-0.863198439280192
RSAR,E,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,17.71717518568039,0.734233607232017,1.3764992356300354
RSAR,E,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.654045740763344,0.3958816563861181,-0.9299655755360922
RSAR,E,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,15.845460196336111,0.36230357295499954,1.4728133877118428
RSAR,E,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,11.746873458226522,1.5637531336892596,-8.873734871546427
RSAR,E,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,13.025209059317907,3.0223234687634664,-6.049154947201411
RSAR,E,student,chaff,common_1detector_epoch,3,3,42;43;44,22.39817629257838,0.8493657134763921,-24.794912834962208
RSAR,E,student,clean,common_1detector_epoch,3,3,42;43;44,24.59830790758133,1.0188319862609492,-28.541670739650726
RSAR,E,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,24.726281066735584,2.1623927403292593,-28.087433675924938
RSAR,E,student,noise_suppression,common_1detector_epoch,3,3,42;43;44,13.523325324058533,1.2225805096717,-2.8173506259918213
RSAR,E,student,point_target,common_1detector_epoch,3,3,42;43;44,24.904657900333405,2.956960197537819,-26.679353415966034
RSAR,E,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,10.411985218524933,0.41877219066482224,-3.9606615900993347
RSAR,F,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,15.044608215490976,1.3075408020417374,-5.576000114281972
RSAR,F,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,16.160353024800617,1.8759983478374884,-2.914010981718699
RSAR,F,ema,chaff,common_1detector_epoch,3,3,42;43;44,44.838289419809975,0.1961254434308016,-2.3547997077306113
RSAR,F,ema,clean,common_1detector_epoch,3,3,42;43;44,51.466659704844155,0.3659058289509386,-1.6733189423878987
RSAR,F,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,51.73177123069763,0.3433015596616318,-1.0819435119628906
RSAR,F,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,15.321034689744314,1.0857643735401792,-1.0196412603060405
RSAR,F,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.47443509101868,0.358036437500533,-1.1095762252807617
RSAR,F,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,13.304228335618973,1.6340996542775368,-1.0684184730052948
RSAR,F,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,5.151744931936264,0.4596100542753574,-15.468863397836685
RSAR,F,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,5.398775512973468,1.7862090475287178,-13.67558849354585
