dataset,domain,method,seed,role,class_name,native_AP50,AP50,AP50_percent,status,precision,evidence
DIOR,brightness,B,43,student,expressway-service-area,0.198,0.198,19.8,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,expressway-toll-station,0.123,0.123,12.3,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,dam,0.091,0.091,9.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,golffield,0.095,0.095,9.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,groundtrackfield,0.208,0.208,20.8,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,harbor,0.061,0.061,6.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,overpass,0.132,0.132,13.200000000000001,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,ship,0.647,0.647,64.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,stadium,0.239,0.239,23.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,storagetank,0.322,0.322,32.2,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,tenniscourt,0.538,0.538,53.800000000000004,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,trainstation,0.067,0.067,6.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,vehicle,0.274,0.274,27.400000000000002,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,43,student,windmill,0.075,0.075,7.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt
DIOR,brightness,B,44,ema,airplane,0.342,0.342,34.2,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
