dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,clean,E,ema,common_1epoch,3,3,42;43;44,52.70611643791199,0.15745292389532412,-0.43386220932006836
RSAR,clean,E,student,common_1epoch,3,3,42;43;44,24.59830790758133,1.0188319862609492,-28.541670739650726
RSAR,clean,F,ema,common_1epoch,3,3,42;43;44,51.466659704844155,0.3659058289509386,-1.6733189423878987
RSAR,clean,F,student,common_1epoch,3,3,42;43;44,25.912936528523762,2.4923561059953365,-27.227042118708294
RSAR,clean,F_text_only,ema,common_1epoch,2,3,43;44,51.32182240486145,0.23733733333454649,-1.8181562423706055
RSAR,clean,F_veto_only,ema,common_1epoch,1,3,44,52.73129940032959,,-0.4086792469024658
RSAR,clean,IRG,ema,common_1epoch,3,3,42;43;44,54.8036793867747,0.23856795201441997,1.6637007395426433
RSAR,clean,IRG,student,common_1epoch,3,3,42;43;44,23.022570212682087,3.7241143265047723,-30.11740843454997
RSAR,clean,LPLD,ema,common_1epoch,3,3,42;43;44,53.39462558428446,0.3143614988903384,0.2546469370524089
RSAR,clean,LPLD,student,common_1epoch,3,3,42;43;44,23.308930297692616,2.404505035208471,-29.83104834953944
RSAR,clean,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
RSAR,clean,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
RSAR,clean,SFUT,ema,common_1epoch,3,3,42;43;44,54.641433556874595,0.2021570214467525,1.5014549096425374
RSAR,clean,SFUT,student,common_1epoch,3,3,42;43;44,25.46928972005844,1.1260868299002291,-27.670688927173615
RSAR,clean,SFYOLO,ema,extended_2epoch,0,3,,,,
RSAR,clean,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,gaussian_white_noise,A,source,common_1epoch,1,1,42,52.81371474266052,,0.0
RSAR,gaussian_white_noise,AASFOD,ema,common_1epoch,3,3,42;43;44,14.84138568242391,1.7645424509591308,-37.97232906023661
RSAR,gaussian_white_noise,AASFOD,student,common_1epoch,3,3,42;43;44,11.486328889926275,2.4530997198666626,-41.327385852734245
RSAR,gaussian_white_noise,B,ema,common_1epoch,3,3,42;43;44,52.051788568496704,0.8012079973481141,-0.7619261741638184
RSAR,gaussian_white_noise,B,student,common_1epoch,3,3,42;43;44,27.815342942873638,1.672841903658101,-24.998371799786884
RSAR,gaussian_white_noise,B_REG,ema,common_1epoch,0,3,,,,
RSAR,gaussian_white_noise,C,ema,common_1epoch,3,3,42;43;44,52.027072509129844,0.30318721547032274,-0.7866422335306803
RSAR,gaussian_white_noise,C,student,common_1epoch,3,3,42;43;44,31.703293323516846,0.29278490876896485,-21.110421419143677
RSAR,gaussian_white_noise,D,ema,common_1epoch,3,3,42;43;44,51.30290389060974,0.4285372066036395,-1.5108108520507812
RSAR,gaussian_white_noise,D,student,common_1epoch,3,3,42;43;44,32.132490475972496,5.811101803021696,-20.68122426668803
RSAR,gaussian_white_noise,E,ema,common_1epoch,3,3,42;43;44,51.95051630338033,0.3911711096744742,-0.863198439280192
RSAR,gaussian_white_noise,E,student,common_1epoch,3,3,42;43;44,24.726281066735584,2.1623927403292593,-28.087433675924938
RSAR,gaussian_white_noise,F,ema,common_1epoch,3,3,42;43;44,51.73177123069763,0.3433015596616318,-1.0819435119628906
RSAR,gaussian_white_noise,F,student,common_1epoch,3,3,42;43;44,26.759104430675507,1.9496806090748369,-26.054610311985016
RSAR,gaussian_white_noise,F_text_only,ema,common_1epoch,2,3,42;43,51.05384886264801,0.6897795374141428,-1.7598658800125122
RSAR,gaussian_white_noise,F_veto_only,ema,common_1epoch,2,3,43;44,51.98337137699127,0.3603850575621016,-0.8303433656692505
RSAR,gaussian_white_noise,IRG,ema,common_1epoch,3,3,42;43;44,54.74088986714681,0.3555645905512538,1.9271751244862874
RSAR,gaussian_white_noise,IRG,student,common_1epoch,3,3,42;43;44,23.762327432632446,2.6491434937909406,-29.051387310028076
RSAR,gaussian_white_noise,LPLD,ema,common_1epoch,3,3,42;43;44,53.35723161697388,0.3514468586493578,0.5435168743133545
RSAR,gaussian_white_noise,LPLD,student,common_1epoch,3,3,42;43;44,22.074033816655476,1.4374839300167228,-30.739680926005047
RSAR,gaussian_white_noise,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
RSAR,gaussian_white_noise,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
RSAR,gaussian_white_noise,SFUT,ema,common_1epoch,3,3,42;43;44,53.90218695004781,0.3619840220794947,1.0884722073872883
RSAR,gaussian_white_noise,SFUT,student,common_1epoch,3,3,42;43;44,25.955512126286823,1.803849058583566,-26.8582026163737
RSAR,gaussian_white_noise,SFYOLO,ema,extended_2epoch,0,3,,,,
RSAR,gaussian_white_noise,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,noise_suppression,A,source,common_1epoch,1,1,42,16.340675950050354,,0.0
RSAR,noise_suppression,AASFOD,ema,common_1epoch,0,3,,,,
RSAR,noise_suppression,AASFOD,student,common_1epoch,0,3,,,,
RSAR,noise_suppression,B,ema,common_1epoch,3,3,42;43;44,17.610664665699005,0.5839225849045507,1.2699887156486511
RSAR,noise_suppression,B,student,common_1epoch,3,3,42;43;44,13.888689130544662,1.8075009759191925,-2.4519868195056915
RSAR,noise_suppression,B_REG,ema,common_1epoch,0,3,,,,
RSAR,noise_suppression,C,ema,common_1epoch,3,3,42;43;44,18.32217276096344,0.2526015883568408,1.981496810913086
RSAR,noise_suppression,C,student,common_1epoch,3,3,42;43;44,18.236590921878815,0.7037538558819517,1.8959149718284607
RSAR,noise_suppression,D,ema,common_1epoch,3,3,42;43;44,17.237878839174908,0.7057457386103954,0.8972028891245524
RSAR,noise_suppression,D,student,common_1epoch,3,3,42;43;44,9.881805628538132,1.2175925808706185,-6.458870321512222
RSAR,noise_suppression,E,ema,common_1epoch,3,3,42;43;44,17.71717518568039,0.734233607232017,1.3764992356300354
RSAR,noise_suppression,E,student,common_1epoch,3,3,42;43;44,13.523325324058533,1.2225805096717,-2.8173506259918213
RSAR,noise_suppression,F,ema,common_1epoch,3,3,42;43;44,15.321034689744314,1.0857643735401792,-1.0196412603060405
RSAR,noise_suppression,F,student,common_1epoch,3,3,42;43;44,10.4974331955115,2.901891614923824,-5.843242754538854
RSAR,noise_suppression,F_text_only,ema,common_1epoch,2,3,43;44,15.41430652141571,0.7078689647950185,-0.9263694286346436
RSAR,noise_suppression,F_veto_only,ema,common_1epoch,3,3,42;43;44,17.486247917016346,0.6156765193970392,1.1455719669659932
RSAR,noise_suppression,IRG,ema,common_1epoch,2,3,42;43,19.259918481111526,0.6051539339603315,2.9192425310611725
