dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,chaff,IRG,42,ema,car,0.696,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,42,ema,tank,0.159,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,42,ema,bridge,0.37,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,42,ema,harbor,0.331,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,ship,0.708,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,aircraft,0.65,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,car,0.726,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,tank,0.163,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,bridge,0.372,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,43,ema,harbor,0.366,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_43/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,ship,0.706,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,aircraft,0.649,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,car,0.697,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,tank,0.158,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,bridge,0.372,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,IRG,44,ema,harbor,0.371,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_44/methods/IRG/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,ship,0.698,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,aircraft,0.665,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,car,0.691,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,tank,0.124,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,bridge,0.342,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,LPLD,42,ema,harbor,0.345,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/chaff/seed_42/methods/LPLD/eval_full_chaff_ids_v1/class_ap.txt
